PIN;cagsbcid_m;Name;Vorname;Straße;Hausnr;PLZ;Ort;Vertragsbeginn;Vertragsende;Vertragsstatus;Vertragsstatus Bez;Vertragsnummer;Vertragsgegenstand;Vertrag verlängern um;Vertrag Kündigungsfrist;VP eMail
1000000087;W;Kamp;Helene;Sarrazinstraße;2;52062;Aachen;01.01.2008 00:00;30.09.2020 00:00;99;Vertrag ist endabgerechnet;46856;abcWasser Ravensburg;K;;Helene.Kamp@test.de
1000000087;W;Kamp;Helene;Sarrazinstraße;2;52062;Aachen;01.01.2008 00:00;30.09.2020 00:00;99;Vertrag ist endabgerechnet;46856;abcWasser Ravensburg;K;;Helene.Kamp@test.de
1000000092;AW;Kober;Hildegard;Saturnstraße;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45322;Abwasser Ravensburg;K;;Hildegard.Kober@test.de
1000000092;AW;Kober;Hildegard;Saturnstraße;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45322;Abwasser Ravensburg;K;;Hildegard.Kober@test.de
1000000092;AW;Kober;Hildegard;Saturnstraße;8;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45324;Abwasser Ravensburg;K;;Hildegard.Kober@test.de
1000000092;AW;Kober;Hildegard;Saturnstraße;8;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45324;Abwasser Ravensburg;K;;Hildegard.Kober@test.de
1000000092;G;Kober;Hildegard;Saturnstraße;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;6685;abcErdgas online flex;1M;6W;Hildegard.Kober@test.de
1000000092;W;Kober;Hildegard;Saturnstraße;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45321;abcWasser Ravensburg;K;;Hildegard.Kober@test.de
1000000092;W;Kober;Hildegard;Saturnstraße;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45321;abcWasser Ravensburg;K;;Hildegard.Kober@test.de
1000000092;W;Kober;Hildegard;Saturnstraße;8;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45323;abcWasser Ravensburg;K;;Hildegard.Kober@test.de
1000000092;W;Kober;Hildegard;Saturnstraße;8;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45323;abcWasser Ravensburg;K;;Hildegard.Kober@test.de
1000000110;AW;Färber;Maria;Schäferstege;8;52062;Aachen;01.01.2008 00:00;28.02.2018 00:00;99;Vertrag ist endabgerechnet;38015;Abwasser Ravensburg;K;;Maria.Färber@test.de
1000000110;W;Färber;Maria;Schäferstege;8;52062;Aachen;01.01.2008 00:00;28.02.2018 00:00;99;Vertrag ist endabgerechnet;38014;abcWasser Ravensburg;K;;Maria.Färber@test.de
1000000116;AW;Raschke;Richard;Albrechts Teerofen;15;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45411;Abwasser Ravensburg;K;;Richard.Raschke@test.de
1000000116;AW;Raschke;Richard;Albrechts Teerofen;15;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45411;Abwasser Ravensburg;K;;Richard.Raschke@test.de
1000000116;AW;Raschke;Richard;Albrechts Teerofen;15;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45413;Abwasser Ravensburg;K;;Richard.Raschke@test.de
1000000116;AW;Raschke;Richard;Albrechts Teerofen;15;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45413;Abwasser Ravensburg;K;;Richard.Raschke@test.de
1000000116;W;Raschke;Richard;Albrechts Teerofen;15;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45410;abcWasser Ravensburg;K;;Richard.Raschke@test.de
1000000116;W;Raschke;Richard;Albrechts Teerofen;15;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45410;abcWasser Ravensburg;K;;Richard.Raschke@test.de
1000000116;W;Raschke;Richard;Albrechts Teerofen;15;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45412;abcWasser Ravensburg;K;;Richard.Raschke@test.de
1000000116;W;Raschke;Richard;Albrechts Teerofen;15;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;45412;abcWasser Ravensburg;K;;Richard.Raschke@test.de
1000000121;G;Hörmann;Waltraud;Schappachstraße;2;52062;Aachen;01.02.2010 00:00;31.12.2018 00:00;99;Vertrag ist endabgerechnet;32020;abcErdgas flex;1M;6W;Waltraud.Hörmann@test.de
1000000125;AW;Kuhl;Wolfgang;Scharfenberger Straße;24;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;46313;Abwasser Ravensburg;K;;Wolfgang.Kuhl@test.de
1000000125;AW;Kuhl;Wolfgang;Scharfenberger Straße;24;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;46313;Abwasser Ravensburg;K;;Wolfgang.Kuhl@test.de
1000000125;W;Kuhl;Wolfgang;Scharfenberger Straße;24;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;46312;abcWasser Ravensburg;K;;Wolfgang.Kuhl@test.de
1000000125;W;Kuhl;Wolfgang;Scharfenberger Straße;24;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;46312;abcWasser Ravensburg;K;;Wolfgang.Kuhl@test.de
1000000145;AW;Hain;Erna;Scheibenbergstraße;16;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;33698;Abwasser Ravensburg;K;;Erna.Hain@test.de
1000000145;G;Hain;Erna;Scheibenbergstraße;106;52062;Aachen;08.06.2010 00:00;;0;Vertrag ist aktiv;15721;Individual;12M;3M;Erna.Hain@test.de
1000000145;G;Hain;Erna;Scheibenbergstraße;106;52062;Aachen;08.06.2010 00:00;;0;Vertrag ist aktiv;15721;Individual;12M;3M;Erna.Hain@test.de
1000000145;W;Hain;Erna;Scheibenbergstraße;16;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;33697;abcWasser Ravensburg;K;;Erna.Hain@test.de
1000000148;AW;Wolfram;Frieda;Alice-Herz-Platz;26;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;34650;Abwasser Ravensburg;K;;Frieda.Wolfram@test.de
1000000148;AW;Wolfram;Frieda;Alice-Herz-Platz;26;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;34650;Abwasser Ravensburg;K;;Frieda.Wolfram@test.de
1000000148;AW;Wolfram;Frieda;Alice-Herz-Platz;26;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;34651;Abwasser Ravensburg;K;;Frieda.Wolfram@test.de
1000000148;AW;Wolfram;Frieda;Alice-Herz-Platz;26;52062;Aachen;01.03.2017 00:00;;0;Vertrag ist aktiv;61582;Abwasser Absetzung;K;;Frieda.Wolfram@test.de
1000000148;W;Wolfram;Frieda;Alice-Herz-Platz;26;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;34649;abcWasser Ravensburg;K;;Frieda.Wolfram@test.de
1000000148;W;Wolfram;Frieda;Alice-Herz-Platz;26;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;34649;abcWasser Ravensburg;K;;Frieda.Wolfram@test.de
1000000165;W;Buhl;Hermann;Schiefertonweg;128;52062;Aachen;24.01.2022 00:00;25.04.2022 00:00;99;Vertrag ist endabgerechnet;112378;Bauwasser Standrohr;K;;Hermann.Buhl@test.de
1000000165;W;Buhl;Hermann;Schiefertonweg;;52062;Aachen;07.09.2022 00:00;09.09.2022 00:00;99;Vertrag ist endabgerechnet;116319;Bauwasser Standrohr;K;;Hermann.Buhl@test.de
1000000165;W;Buhl;Hermann;Schiefertonweg;;52062;Aachen;07.09.2022 00:00;09.09.2022 00:00;99;Vertrag ist endabgerechnet;116319;Bauwasser Standrohr;K;;Hermann.Buhl@test.de
1000000165;W;Buhl;Hermann;Schiefertonweg;;52062;Aachen;24.10.2022 00:00;24.10.2022 00:00;99;Vertrag ist endabgerechnet;117283;Bauwasser Standrohr;K;;Hermann.Buhl@test.de
1000000165;W;Buhl;Hermann;Schiefertonweg;;52062;Aachen;24.10.2022 00:00;24.10.2022 00:00;99;Vertrag ist endabgerechnet;117283;Bauwasser Standrohr;K;;Hermann.Buhl@test.de
1000000165;W;Buhl;Hermann;Schiefertonweg;999;52062;Aachen;25.11.2022 00:00;29.11.2022 00:00;99;Vertrag ist endabgerechnet;118832;Bauwasser Standrohr;K;;Hermann.Buhl@test.de
1000000203;AW;Sänger;Anneliese;Schkopauer Ring;12;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;53718;Abwasser Ravensburg;K;;Anneliese.Sänger@test.de
1000000203;AW;Sänger;Anneliese;Schkopauer Ring;12;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;53718;Abwasser Ravensburg;K;;Anneliese.Sänger@test.de
1000000203;W;Sänger;Anneliese;Schkopauer Ring;12;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;53717;abcWasser Stadt Ravensburg;K;;Anneliese.Sänger@test.de
1000000203;W;Sänger;Anneliese;Schkopauer Ring;12;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;53717;abcWasser Stadt Ravensburg;K;;Anneliese.Sänger@test.de
1000000253;AW;Zielke;Klaus ;Schmalenbachstraße;3;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;42021;Abwasser Ravensburg;K;;Klaus .Zielke@test.de
1000000253;AW;Zielke;Klaus ;Schmalenbachstraße;3;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;42021;Abwasser Ravensburg;K;;Klaus .Zielke@test.de
1000000253;G;Zielke;Klaus ;Althoffstraße;16;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;5186;abcErdgas fix 12;12M;6W;Klaus .Zielke@test.de
1000000253;G;Zielke;Klaus ;Althoffstraße;16;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;5186;abcErdgas fix 12;12M;6W;Klaus .Zielke@test.de
1000000253;W;Zielke;Klaus ;Schmalenbachstraße;3;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;42020;abcWasser Ravensburg;K;;Klaus .Zielke@test.de
1000000253;W;Zielke;Klaus ;Schmalenbachstraße;3;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;42020;abcWasser Ravensburg;K;;Klaus .Zielke@test.de
1000000447;S;Geis;Franz;Am Kletterplatz;20;52062;Aachen;01.01.2013 00:00;30.06.2020 00:00;99;Vertrag ist endabgerechnet;19059;abcNaturstrom Gewerbe DT Fix;12M;6W;Franz.Geis@test.de
1000000447;S;Geis;Franz;Am Kletterplatz;20;52062;Aachen;01.01.2013 00:00;30.06.2020 00:00;99;Vertrag ist endabgerechnet;19059;abcNaturstrom Gewerbe DT Fix;12M;6W;Franz.Geis@test.de
1000000447;S;Geis;Franz;Am Kletterplatz;20;52062;Aachen;01.01.2013 00:00;30.06.2020 00:00;99;Vertrag ist endabgerechnet;19059;abcNaturstrom Gewerbe DT Fix;12M;6W;Franz.Geis@test.de
1000000447;S;Geis;Franz;Am Kletterplatz;20;52062;Aachen;01.01.2013 00:00;30.06.2020 00:00;99;Vertrag ist endabgerechnet;19059;abcNaturstrom Gewerbe DT Fix;12M;6W;Franz.Geis@test.de
1000000452;AW;Wieser;Gerda;Am Kornfeld;70;52062;Aachen;01.01.2008 00:00;08.12.2021 00:00;99;Vertrag ist endabgerechnet;51836;Abwasser Ravensburg;K;;Gerda.Wieser@test.de
1000000452;AW;Wieser;Gerda;Am Kornfeld;70;52062;Aachen;01.01.2008 00:00;08.12.2021 00:00;99;Vertrag ist endabgerechnet;51836;Abwasser Ravensburg;K;;Gerda.Wieser@test.de
1000000452;AW;Wieser;Gerda;Am Kornfeld;70;52062;Aachen;01.01.2008 00:00;08.12.2021 00:00;99;Vertrag ist endabgerechnet;51839;Abwasser Ravensburg;K;;Gerda.Wieser@test.de
1000000452;AW;Wieser;Gerda;Am Kornfeld;70;52062;Aachen;01.01.2008 00:00;08.12.2021 00:00;99;Vertrag ist endabgerechnet;51839;Abwasser Ravensburg;K;;Gerda.Wieser@test.de
1000000452;W;Wieser;Gerda;Am Kornfeld;70;52062;Aachen;01.01.2008 00:00;08.12.2021 00:00;99;Vertrag ist endabgerechnet;51835;abcWasser Ravensburg;K;;Gerda.Wieser@test.de
1000000452;W;Wieser;Gerda;Am Kornfeld;70;52062;Aachen;01.01.2008 00:00;08.12.2021 00:00;99;Vertrag ist endabgerechnet;51835;abcWasser Ravensburg;K;;Gerda.Wieser@test.de
1000000452;W;Wieser;Gerda;Am Kornfeld;70;52062;Aachen;01.01.2008 00:00;08.12.2021 00:00;99;Vertrag ist endabgerechnet;51837;abcWasser Ravensburg;K;;Gerda.Wieser@test.de
1000000452;W;Wieser;Gerda;Am Kornfeld;70;52062;Aachen;01.01.2008 00:00;08.12.2021 00:00;99;Vertrag ist endabgerechnet;51837;abcWasser Ravensburg;K;;Gerda.Wieser@test.de
1000000285;AW;Tischer;Claus;Schneeballenweg;2017;52062;Aachen;27.11.2017 00:00;08.01.2018 00:00;99;Vertrag ist endabgerechnet;60889;Abwasser Standrohr Ravensburg;K;;Claus.Tischer@test.de
1000000285;AW;Tischer;Claus;Schneeballenweg;2017;52062;Aachen;27.11.2017 00:00;08.01.2018 00:00;99;Vertrag ist endabgerechnet;60891;Abwasser Standrohr Ravensburg;K;;Claus.Tischer@test.de
1000000285;W;Tischer;Claus;Schneeballenweg;2017;52062;Aachen;27.11.2017 00:00;08.01.2018 00:00;99;Vertrag ist endabgerechnet;60608;Bauwasser Standrohr;K;;Claus.Tischer@test.de
1000000285;W;Tischer;Claus;Schneeballenweg;2017;52062;Aachen;27.11.2017 00:00;08.01.2018 00:00;99;Vertrag ist endabgerechnet;60609;Bauwasser Standrohr;K;;Claus.Tischer@test.de
1000000306;AW;Gruner;Günther;Am Bogen;4;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;48544;Abwasser Ravensburg;K;;Günther.Gruner@test.de
1000000306;AW;Gruner;Günther;Am Bogen;4;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;48544;Abwasser Ravensburg;K;;Günther.Gruner@test.de
1000000306;G;Gruner;Günther;Am Bogen;4;52062;Aachen;29.04.2010 00:00;;0;Vertrag ist aktiv;12533;abcErdgas fix;12M;6W;Günther.Gruner@test.de
1000000306;W;Gruner;Günther;Am Bogen;4;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;48543;abcWasser Ravensburg;K;;Günther.Gruner@test.de
1000000306;W;Gruner;Günther;Am Bogen;4;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;48543;abcWasser Ravensburg;K;;Günther.Gruner@test.de
1000000310;G;Deppe;Heinz;Schönagelstraße;28;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;5423;Rahmenvertrag Kreissparkasse;K;3M;Heinz.Deppe@test.de
1000000310;G;Deppe;Heinz;Schönagelstraße;28;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;5423;Rahmenvertrag Kreissparkasse;K;3M;Heinz.Deppe@test.de
1000000313;AW;Aßmann;Helga;Schönbaumer Weg;39;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;32920;Abwasser Ravensburg;K;;Helga.Aßmann@test.de
1000000313;AW;Aßmann;Helga;Schönbaumer Weg;39;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;32920;Abwasser Ravensburg;K;;Helga.Aßmann@test.de
1000000313;AW;Aßmann;Helga;Schönbaumer Weg;39;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;32922;Abwasser Ravensburg;K;;Helga.Aßmann@test.de
1000000313;AW;Aßmann;Helga;Schönbaumer Weg;39;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;32922;Abwasser Ravensburg;K;;Helga.Aßmann@test.de
1000000313;W;Aßmann;Helga;Schönbaumer Weg;39;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;32919;abcWasser Ravensburg;K;;Helga.Aßmann@test.de
1000000313;W;Aßmann;Helga;Schönbaumer Weg;39;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;32919;abcWasser Ravensburg;K;;Helga.Aßmann@test.de
1000000313;W;Aßmann;Helga;Schönbaumer Weg;39;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;32921;abcWasser Ravensburg;K;;Helga.Aßmann@test.de
1000000313;W;Aßmann;Helga;Schönbaumer Weg;39;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;32921;abcWasser Ravensburg;K;;Helga.Aßmann@test.de
1000000320;G;Bräutigam;Ilse;Am Buckersberg;1;52062;Aachen;01.01.2008 00:00;31.05.2021 00:00;99;Vertrag ist endabgerechnet;8936;abcErdgas Komfort (Grundvers.) Kombi;1T;14T;Ilse.Bräutigam@test.de
1000000320;G;Bräutigam;Ilse;Am Buckersberg;1;52062;Aachen;01.01.2008 00:00;31.05.2021 00:00;99;Vertrag ist endabgerechnet;8936;abcErdgas Komfort (Grundvers.) Kombi;1T;14T;Ilse.Bräutigam@test.de
1000000320;G;Bräutigam;Ilse;Am Buckersberg;1;52062;Aachen;01.01.2008 00:00;31.05.2021 00:00;99;Vertrag ist endabgerechnet;8936;abcErdgas Komfort (Grundvers.) Kombi;1T;14T;Ilse.Bräutigam@test.de
1000000327;S;Sack;Käte;Schonensche Straße;;52062;Aachen;01.08.2011 00:00;;0;Vertrag ist aktiv;17447;abcNaturstrom Gewerbe ET Fix;12M;6W;Käte.Sack@test.de
1000000349;AW;Niedermeier;Willi;Am Espenpfuhl;;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;50955;Abwasser Ravensburg;K;;Willi.Niedermeier@test.de
1000000349;AW;Niedermeier;Willi;Am Espenpfuhl;;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;50955;Abwasser Ravensburg;K;;Willi.Niedermeier@test.de
1000000349;W;Niedermeier;Willi;Am Espenpfuhl;;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;50954;abcWasser Ravensburg;K;;Willi.Niedermeier@test.de
1000000349;W;Niedermeier;Willi;Am Espenpfuhl;;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;50954;abcWasser Ravensburg;K;;Willi.Niedermeier@test.de
1000000351;AW;Klassen;Alfred;Am Falkenberg;33;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;48483;Abwasser Ravensburg;K;;Alfred.Klassen@test.de
1000000351;AW;Klassen;Alfred;Am Falkenberg;33;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;48483;Abwasser Ravensburg;K;;Alfred.Klassen@test.de
1000000351;G;Klassen;Alfred;Am Falkenberg;33;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;8252;abcErdgas fix Vorteil Kombi;12M;6W;Alfred.Klassen@test.de
1000000351;G;Klassen;Alfred;Am Falkenberg;33;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;8252;abcErdgas fix Vorteil Kombi;12M;6W;Alfred.Klassen@test.de
1000000351;GW;Klassen;Alfred;Am Falkenberg;33;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;48484;Abwasser RV genehmigte Unterzähler;K;;Alfred.Klassen@test.de
1000000351;W;Klassen;Alfred;Am Falkenberg;33;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;48482;abcWasser Ravensburg Kombi;K;;Alfred.Klassen@test.de
1000000351;W;Klassen;Alfred;Am Falkenberg;33;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;48482;abcWasser Ravensburg Kombi;K;;Alfred.Klassen@test.de
1000000366;S;Speck;Else;Schrammstraße;;52062;Aachen;26.10.2021 00:00;;0;Vertrag ist aktiv;101546;abcNaturstrom Haushalt ET Fix;12M;6W;Else.Speck@test.de
1000000366;S;Speck;Else;Schrammstraße;;52062;Aachen;26.10.2022 00:00;26.10.2022 00:00;99;Vertrag ist endabgerechnet;102388;Neukundenbonus;K;;Else.Speck@test.de
1000000369;AW;Dunkel;Erika;Am Fort;7;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;36810;Abwasser Ravensburg;K;;Erika.Dunkel@test.de
1000000369;AW;Dunkel;Erika;Am Fort;7;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;36810;Abwasser Ravensburg;K;;Erika.Dunkel@test.de
1000000369;G;Dunkel;Erika;Am Fort;7;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;2573;abcErdgas Komfort (Grundvers.);1T;14T;Erika.Dunkel@test.de
1000000369;W;Dunkel;Erika;Am Fort;7;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;36809;abcWasser Ravensburg;K;;Erika.Dunkel@test.de
1000000369;W;Dunkel;Erika;Am Fort;7;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;36809;abcWasser Ravensburg;K;;Erika.Dunkel@test.de
1000000402;AW;Engelbrecht;Käte;Am Hegewinkel;62;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;52113;Abwasser Ravensburg;K;;Käte.Engelbrecht@test.de
1000000402;AW;Engelbrecht;Käte;Am Hegewinkel;62;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;52113;Abwasser Ravensburg;K;;Käte.Engelbrecht@test.de
1000000402;G;Engelbrecht;Käte;Am Hegewinkel;62;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;10067;abcErdgas fix Vorteil Kombi;12M;6W;Käte.Engelbrecht@test.de
1000000402;G;Engelbrecht;Käte;Am Hegewinkel;62;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;10067;abcErdgas fix Vorteil Kombi;12M;6W;Käte.Engelbrecht@test.de
1000000402;W;Engelbrecht;Käte;Am Hegewinkel;62;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;52112;abcWasser Ravensburg Kombi;K;;Käte.Engelbrecht@test.de
1000000402;W;Engelbrecht;Käte;Am Hegewinkel;62;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;52112;abcWasser Ravensburg Kombi;K;;Käte.Engelbrecht@test.de
1000000408;AW;Steuer;Margarethe;Am Heimenstein;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;39365;Abwasser Ravensburg;K;;Margarethe.Steuer@test.de
1000000408;AW;Steuer;Margarethe;Am Heimenstein;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;39365;Abwasser Ravensburg;K;;Margarethe.Steuer@test.de
1000000408;G;Steuer;Margarethe;Am Heimenstein;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;3901;abcErdgas Komfort (Grundvers.);1T;14T;Margarethe.Steuer@test.de
1000000408;W;Steuer;Margarethe;Am Heimenstein;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;39364;abcWasser Ravensburg;K;;Margarethe.Steuer@test.de
1000000408;W;Steuer;Margarethe;Am Heimenstein;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;39364;abcWasser Ravensburg;K;;Margarethe.Steuer@test.de
1000000423;AW;Rettig;Wilhelm;Am Johannistisch;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;49081;Abwasser Ravensburg;K;;Wilhelm.Rettig@test.de
1000000423;AW;Rettig;Wilhelm;Am Johannistisch;6;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;49081;Abwasser Ravensburg;K;;Wilhelm.Rettig@test.de
1000000423;G;Rettig;Wilhelm;Am Johannistisch;6;52062;Aachen;01.12.2018 00:00;01.12.2018 00:00;99;Vertrag ist endabgerechnet;65179;abcErdgas Komfort (Grundvers.);1T;;Wilhelm.Rettig@test.de
1000000423;G;Rettig;Wilhelm;Am Johannistisch;6;52062;Aachen;01.12.2018 00:00;01.12.2018 00:00;99;Vertrag ist endabgerechnet;65179;abcErdgas Komfort (Grundvers.);1T;;Wilhelm.Rettig@test.de
