PIN;Name;Vorname;E-Mail;Aktive Vertragsnummern
1000000203;Sänger;Anneliese;Anneliese.Sänger@test.de;53717
1000000253;Zielke;Klaus ;Klaus .Zielke@test.de;
1000000253;Zielke;Klaus ;Klaus .Zielke@test.de;
1000000253;Zielke;Klaus ;Klaus .Zielke@test.de;
1000000253;Zielke;Klaus ;Klaus .Zielke@test.de;
1000000253;Zielke;Klaus ;Klaus .Zielke@test.de;42020
1000000253;Zielke;Klaus ;Klaus .Zielke@test.de;42020
1000000447;Geis;Franz;Franz.Geis@test.de;
1000000447;Geis;Franz;Franz.Geis@test.de;
1000000447;Geis;Franz;Franz.Geis@test.de;
1000000447;Geis;Franz;Franz.Geis@test.de;
1000000452;Wieser;Gerda;Gerda.Wieser@test.de;
1000000452;Wieser;Gerda;Gerda.Wieser@test.de;
1000000452;Wieser;Gerda;Gerda.Wieser@test.de;
1000000452;Wieser;Gerda;Gerda.Wieser@test.de;
1000000452;Wieser;Gerda;Gerda.Wieser@test.de;51835
1000000452;Wieser;Gerda;Gerda.Wieser@test.de;51835
1000000452;Wieser;Gerda;Gerda.Wieser@test.de;51837
1000000452;Wieser;Gerda;Gerda.Wieser@test.de;51837
1000000285;Tischer;Claus;Claus.Tischer@test.de;
1000000285;Tischer;Claus;Claus.Tischer@test.de;
1000000285;Tischer;Claus;Claus.Tischer@test.de;
1000000285;Tischer;Claus;Claus.Tischer@test.de;
1000000306;Gruner;Günther;Günther.Gruner@test.de;
1000000306;Gruner;Günther;Günther.Gruner@test.de;
1000000306;Gruner;Günther;Günther.Gruner@test.de;
1000000306;Gruner;Günther;Günther.Gruner@test.de;48543
1000000306;Gruner;Günther;Günther.Gruner@test.de;48543
1000000310;Deppe;Heinz;Heinz.Deppe@test.de;
1000000310;Deppe;Heinz;Heinz.Deppe@test.de;
1000000313;Aßmann;Helga;Helga.Aßmann@test.de;
1000000313;Aßmann;Helga;Helga.Aßmann@test.de;
1000000313;Aßmann;Helga;Helga.Aßmann@test.de;
1000000313;Aßmann;Helga;Helga.Aßmann@test.de;
1000000313;Aßmann;Helga;Helga.Aßmann@test.de;32919
1000000313;Aßmann;Helga;Helga.Aßmann@test.de;32919
1000000313;Aßmann;Helga;Helga.Aßmann@test.de;32921
1000000313;Aßmann;Helga;Helga.Aßmann@test.de;32921
1000000320;Bräutigam;Ilse;Ilse.Bräutigam@test.de;
1000000320;Bräutigam;Ilse;Ilse.Bräutigam@test.de;
1000000320;Bräutigam;Ilse;Ilse.Bräutigam@test.de;
1000000327;Sack;Käte;Käte.Sack@test.de;
1000000349;Niedermeier;Willi;Willi.Niedermeier@test.de;
1000000349;Niedermeier;Willi;Willi.Niedermeier@test.de;
1000000349;Niedermeier;Willi;Willi.Niedermeier@test.de;50954
1000000349;Niedermeier;Willi;Willi.Niedermeier@test.de;50954
1000000351;Klassen;Alfred;Alfred.Klassen@test.de;
1000000351;Klassen;Alfred;Alfred.Klassen@test.de;
1000000351;Klassen;Alfred;Alfred.Klassen@test.de;
1000000351;Klassen;Alfred;Alfred.Klassen@test.de;
1000000351;Klassen;Alfred;Alfred.Klassen@test.de;
1000000351;Klassen;Alfred;Alfred.Klassen@test.de;48482
1000000351;Klassen;Alfred;Alfred.Klassen@test.de;48482
1000000366;Speck;Else;Else.Speck@test.de;
1000000366;Speck;Else;Else.Speck@test.de;
1000000369;Dunkel;Erika;Erika.Dunkel@test.de;
1000000369;Dunkel;Erika;Erika.Dunkel@test.de;
1000000369;Dunkel;Erika;Erika.Dunkel@test.de;
1000000369;Dunkel;Erika;Erika.Dunkel@test.de;36809
1000000369;Dunkel;Erika;Erika.Dunkel@test.de;36809
1000000402;Engelbrecht;Käte;Käte.Engelbrecht@test.de;
1000000402;Engelbrecht;Käte;Käte.Engelbrecht@test.de;
1000000402;Engelbrecht;Käte;Käte.Engelbrecht@test.de;
1000000402;Engelbrecht;Käte;Käte.Engelbrecht@test.de;
1000000402;Engelbrecht;Käte;Käte.Engelbrecht@test.de;52112
1000000402;Engelbrecht;Käte;Käte.Engelbrecht@test.de;52112
1000000408;Steuer;Margarethe;Margarethe.Steuer@test.de;
1000000408;Steuer;Margarethe;Margarethe.Steuer@test.de;
1000000408;Steuer;Margarethe;Margarethe.Steuer@test.de;
1000000408;Steuer;Margarethe;Margarethe.Steuer@test.de;39364
1000000408;Steuer;Margarethe;Margarethe.Steuer@test.de;39364
1000000423;Rettig;Wilhelm;Wilhelm.Rettig@test.de;
1000000423;Rettig;Wilhelm;Wilhelm.Rettig@test.de;
1000000423;Rettig;Wilhelm;Wilhelm.Rettig@test.de;
1000000423;Rettig;Wilhelm;Wilhelm.Rettig@test.de;
1000000423;Rettig;Wilhelm;Wilhelm.Rettig@test.de;
1000000423;Rettig;Wilhelm;Wilhelm.Rettig@test.de;
1000000423;Rettig;Wilhelm;Wilhelm.Rettig@test.de;49080
1000000423;Rettig;Wilhelm;Wilhelm.Rettig@test.de;49080
1000000426;Guth;Alfred;Alfred.Guth@test.de;
1000000426;Guth;Alfred;Alfred.Guth@test.de;
1000000426;Guth;Alfred;Alfred.Guth@test.de;
1000000426;Guth;Alfred;Alfred.Guth@test.de;
1000000426;Guth;Alfred;Alfred.Guth@test.de;36376
1000000426;Guth;Alfred;Alfred.Guth@test.de;36376
1000000438;Behrend;Elfriede;Elfriede.Behrend@test.de;
1000000438;Behrend;Elfriede;Elfriede.Behrend@test.de;
1000000438;Behrend;Elfriede;Elfriede.Behrend@test.de;44183
1000000438;Behrend;Elfriede;Elfriede.Behrend@test.de;44183
1000000470;Knappe;Ilse;Ilse.Knappe@test.de;
1000000470;Knappe;Ilse;Ilse.Knappe@test.de;
1000000470;Knappe;Ilse;Ilse.Knappe@test.de;51179
1000000470;Knappe;Ilse;Ilse.Knappe@test.de;51179
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;49452
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;49455
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;49455
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;55833
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;55833
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;56388
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;58656
1000000478;Hänsel;Klaus ;Klaus .Hänsel@test.de;
1000000478;Hänsel;Klaus ;Klaus .Hänsel@test.de;
1000000478;Hänsel;Klaus ;Klaus .Hänsel@test.de;34861
1000000478;Hänsel;Klaus ;Klaus .Hänsel@test.de;34861
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;
1000000472;Fischbach;Irmgard;Irmgard.Fischbach@test.de;49452
1000000515;Klein;Ella;Ella.Klein@test.de;
1000000515;Klein;Ella;Ella.Klein@test.de;
1000000515;Klein;Ella;Ella.Klein@test.de;42863
1000000515;Klein;Ella;Ella.Klein@test.de;42863
1000000542;Fuchs;Hildegard;Hildegard.Fuchs@test.de;
1000000542;Fuchs;Hildegard;Hildegard.Fuchs@test.de;
1000000542;Fuchs;Hildegard;Hildegard.Fuchs@test.de;
1000000542;Fuchs;Hildegard;Hildegard.Fuchs@test.de;51496
1000000542;Fuchs;Hildegard;Hildegard.Fuchs@test.de;51496
1000000549;Hahn;Johanna;Johanna.Hahn@test.de;
1000000549;Hahn;Johanna;Johanna.Hahn@test.de;
1000000549;Hahn;Johanna;Johanna.Hahn@test.de;
1000000549;Hahn;Johanna;Johanna.Hahn@test.de;
1000000549;Hahn;Johanna;Johanna.Hahn@test.de;
1000000549;Hahn;Johanna;Johanna.Hahn@test.de;50585
1000000549;Hahn;Johanna;Johanna.Hahn@test.de;50585
1000000555;Winkler;Lieselotte;Lieselotte.Winkler@test.de;
1000000555;Winkler;Lieselotte;Lieselotte.Winkler@test.de;
1000000555;Winkler;Lieselotte;Lieselotte.Winkler@test.de;
1000000555;Winkler;Lieselotte;Lieselotte.Winkler@test.de;
1000000555;Winkler;Lieselotte;Lieselotte.Winkler@test.de;37161
1000000555;Winkler;Lieselotte;Lieselotte.Winkler@test.de;37161
1000000555;Winkler;Lieselotte;Lieselotte.Winkler@test.de;37163
1000000555;Winkler;Lieselotte;Lieselotte.Winkler@test.de;37163
1000000557;Berger;Manfred;Manfred.Berger@test.de;
1000000557;Berger;Manfred;Manfred.Berger@test.de;52698
1000000558;Roth;Margarethe;Margarethe.Roth@test.de;
1000000558;Roth;Margarethe;Margarethe.Roth@test.de;
1000000558;Roth;Margarethe;Margarethe.Roth@test.de;
1000000558;Roth;Margarethe;Margarethe.Roth@test.de;
1000000560;Lorenz;Maria;Maria.Lorenz@test.de;
1000000560;Lorenz;Maria;Maria.Lorenz@test.de;
1000000560;Lorenz;Maria;Maria.Lorenz@test.de;
1000000561;Baumann;Marie;Marie.Baumann@test.de;
1000000561;Baumann;Marie;Marie.Baumann@test.de;
1000000561;Baumann;Marie;Marie.Baumann@test.de;
1000000561;Baumann;Marie;Marie.Baumann@test.de;
1000000561;Baumann;Marie;Marie.Baumann@test.de;
1000000561;Baumann;Marie;Marie.Baumann@test.de;
1000000561;Baumann;Marie;Marie.Baumann@test.de;
1000000561;Baumann;Marie;Marie.Baumann@test.de;
1000000561;Baumann;Marie;Marie.Baumann@test.de;
1000000561;Baumann;Marie;Marie.Baumann@test.de;
1000000561;Baumann;Marie;Marie.Baumann@test.de;
1000000572;Krämer;Werner;Werner.Krämer@test.de;
1000000572;Krämer;Werner;Werner.Krämer@test.de;
1000000572;Krämer;Werner;Werner.Krämer@test.de;
1000000572;Krämer;Werner;Werner.Krämer@test.de;
1000000572;Krämer;Werner;Werner.Krämer@test.de;
1000000572;Krämer;Werner;Werner.Krämer@test.de;
1000000572;Krämer;Werner;Werner.Krämer@test.de;
1000000572;Krämer;Werner;Werner.Krämer@test.de;
1000000572;Krämer;Werner;Werner.Krämer@test.de;41386
1000000572;Krämer;Werner;Werner.Krämer@test.de;41386
1000000572;Krämer;Werner;Werner.Krämer@test.de;52651
1000000572;Krämer;Werner;Werner.Krämer@test.de;52651
1000000573;Vogt;Wilhelm;Wilhelm.Vogt@test.de;
1000000573;Vogt;Wilhelm;Wilhelm.Vogt@test.de;
1000000573;Vogt;Wilhelm;Wilhelm.Vogt@test.de;
1000000573;Vogt;Wilhelm;Wilhelm.Vogt@test.de;
1000000573;Vogt;Wilhelm;Wilhelm.Vogt@test.de;
1000000573;Vogt;Wilhelm;Wilhelm.Vogt@test.de;
1000000573;Vogt;Wilhelm;Wilhelm.Vogt@test.de;41361
1000000573;Vogt;Wilhelm;Wilhelm.Vogt@test.de;41361
1000000573;Vogt;Wilhelm;Wilhelm.Vogt@test.de;41388
1000000591;Engel;Else;Else.Engel@test.de;
1000000591;Engel;Else;Else.Engel@test.de;
1000000591;Engel;Else;Else.Engel@test.de;
1000000591;Engel;Else;Else.Engel@test.de;45174
1000000591;Engel;Else;Else.Engel@test.de;45174
1000000592;Horn;Emma;Emma.Horn@test.de;
1000000594;Voigt;Erika;Erika.Voigt@test.de;
1000000597;Sauer;Franz;Franz.Sauer@test.de;
1000000597;Sauer;Franz;Franz.Sauer@test.de;
1000000597;Sauer;Franz;Franz.Sauer@test.de;
1000000597;Sauer;Franz;Franz.Sauer@test.de;
1000000597;Sauer;Franz;Franz.Sauer@test.de;
1000000597;Sauer;Franz;Franz.Sauer@test.de;
1000000597;Sauer;Franz;Franz.Sauer@test.de;
1000000597;Sauer;Franz;Franz.Sauer@test.de;45597
1000000597;Sauer;Franz;Franz.Sauer@test.de;45597
1000000597;Sauer;Franz;Franz.Sauer@test.de;45597
1000000597;Sauer;Franz;Franz.Sauer@test.de;48293
1000000597;Sauer;Franz;Franz.Sauer@test.de;48293
1000000597;Sauer;Franz;Franz.Sauer@test.de;56075
1000000597;Sauer;Franz;Franz.Sauer@test.de;56075
1000000603;Ernst;Gerhard;Gerhard.Ernst@test.de;
1000000603;Ernst;Gerhard;Gerhard.Ernst@test.de;
1000000603;Ernst;Gerhard;Gerhard.Ernst@test.de;49872
1000000603;Ernst;Gerhard;Gerhard.Ernst@test.de;49872
1000000620;Ott;Ilse;Ilse.Ott@test.de;
1000000620;Ott;Ilse;Ilse.Ott@test.de;
1000000620;Ott;Ilse;Ilse.Ott@test.de;
1000000620;Ott;Ilse;Ilse.Ott@test.de;54044
1000000620;Ott;Ilse;Ilse.Ott@test.de;54044
1000000628;Mohr;Klaus ;Klaus .Mohr@test.de;
1000000648;Eckert;Wilhelm;Wilhelm.Eckert@test.de;
1000000648;Eckert;Wilhelm;Wilhelm.Eckert@test.de;
1000000648;Eckert;Wilhelm;Wilhelm.Eckert@test.de;39111
1000000661;Hesse;Curt;Curt.Hesse@test.de;
1000000661;Hesse;Curt;Curt.Hesse@test.de;
1000000661;Hesse;Curt;Curt.Hesse@test.de;36949
1000000661;Hesse;Curt;Curt.Hesse@test.de;36949
1000000663;Rudolph;Elfriede;Elfriede.Rudolph@test.de;
1000000663;Rudolph;Elfriede;Elfriede.Rudolph@test.de;
1000000663;Rudolph;Elfriede;Elfriede.Rudolph@test.de;44157
1000000663;Rudolph;Elfriede;Elfriede.Rudolph@test.de;44157
1000000665;Beckmann;Ella;Ella.Beckmann@test.de;
1000000665;Beckmann;Ella;Ella.Beckmann@test.de;
1000000665;Beckmann;Ella;Ella.Beckmann@test.de;
1000000665;Beckmann;Ella;Ella.Beckmann@test.de;
1000000665;Beckmann;Ella;Ella.Beckmann@test.de;
1000000665;Beckmann;Ella;Ella.Beckmann@test.de;
1000000665;Beckmann;Ella;Ella.Beckmann@test.de;
1000000665;Beckmann;Ella;Ella.Beckmann@test.de;
1000000665;Beckmann;Ella;Ella.Beckmann@test.de;32041
1000000665;Beckmann;Ella;Ella.Beckmann@test.de;32041
1000000669;Behrens;Erika;Erika.Behrens@test.de;
1000000669;Behrens;Erika;Erika.Behrens@test.de;
1000000669;Behrens;Erika;Erika.Behrens@test.de;46511
1000000669;Behrens;Erika;Erika.Behrens@test.de;46511
1000000695;Löffler;Ilse;Ilse.Löffler@test.de;
1000000695;Löffler;Ilse;Ilse.Löffler@test.de;
1000000695;Löffler;Ilse;Ilse.Löffler@test.de;
1000000695;Löffler;Ilse;Ilse.Löffler@test.de;
1000000695;Löffler;Ilse;Ilse.Löffler@test.de;
1000000695;Löffler;Ilse;Ilse.Löffler@test.de;
1000000695;Löffler;Ilse;Ilse.Löffler@test.de;
1000000695;Löffler;Ilse;Ilse.Löffler@test.de;50209
1000000695;Löffler;Ilse;Ilse.Löffler@test.de;50209
1000000695;Löffler;Ilse;Ilse.Löffler@test.de;50211
1000000695;Löffler;Ilse;Ilse.Löffler@test.de;50211
1000000699;Schröter;Johanna;Johanna.Schröter@test.de;
1000000699;Schröter;Johanna;Johanna.Schröter@test.de;
1000000699;Schröter;Johanna;Johanna.Schröter@test.de;
1000000699;Schröter;Johanna;Johanna.Schröter@test.de;
1000000699;Schröter;Johanna;Johanna.Schröter@test.de;
1000000699;Schröter;Johanna;Johanna.Schröter@test.de;50267
1000000699;Schröter;Johanna;Johanna.Schröter@test.de;50267
1000000699;Schröter;Johanna;Johanna.Schröter@test.de;50269
1000000699;Schröter;Johanna;Johanna.Schröter@test.de;50269
1000000712;Schwab;Marta;Marta.Schwab@test.de;
1000000712;Schwab;Marta;Marta.Schwab@test.de;
1000000712;Schwab;Marta;Marta.Schwab@test.de;
1000000712;Schwab;Marta;Marta.Schwab@test.de;
1000000712;Schwab;Marta;Marta.Schwab@test.de;
1000000712;Schwab;Marta;Marta.Schwab@test.de;35281
1000000712;Schwab;Marta;Marta.Schwab@test.de;35281
1000000712;Schwab;Marta;Marta.Schwab@test.de;35283
1000000712;Schwab;Marta;Marta.Schwab@test.de;35283
1000000712;Schwab;Marta;Marta.Schwab@test.de;35285
1000000726;Meißner;Alfred;Alfred.Meißner@test.de;
1000000726;Meißner;Alfred;Alfred.Meißner@test.de;
1000000726;Meißner;Alfred;Alfred.Meißner@test.de;
1000000726;Meißner;Alfred;Alfred.Meißner@test.de;
1000000726;Meißner;Alfred;Alfred.Meißner@test.de;44939
1000000726;Meißner;Alfred;Alfred.Meißner@test.de;44941
1000000726;Meißner;Alfred;Alfred.Meißner@test.de;44943
1000000726;Meißner;Alfred;Alfred.Meißner@test.de;44943
1000000809;Großmann;Clara;Clara.Großmann@test.de;
1000000809;Großmann;Clara;Clara.Großmann@test.de;
1000000809;Großmann;Clara;Clara.Großmann@test.de;47004
1000000809;Großmann;Clara;Clara.Großmann@test.de;47004
1000000762;Renner;Helene;Helene.Renner@test.de;
1000000762;Renner;Helene;Helene.Renner@test.de;
1000000762;Renner;Helene;Helene.Renner@test.de;
1000000762;Renner;Helene;Helene.Renner@test.de;42935
1000000762;Renner;Helene;Helene.Renner@test.de;42935
1000000762;Renner;Helene;Helene.Renner@test.de;42935
1000000787;Berndt;Marta;Marta.Berndt@test.de;
1000000787;Berndt;Marta;Marta.Berndt@test.de;
1000000787;Berndt;Marta;Marta.Berndt@test.de;
1000000787;Berndt;Marta;Marta.Berndt@test.de;
1000000787;Berndt;Marta;Marta.Berndt@test.de;52671
1000000787;Berndt;Marta;Marta.Berndt@test.de;52671
1000000787;Berndt;Marta;Marta.Berndt@test.de;52673
1000000787;Berndt;Marta;Marta.Berndt@test.de;52673
1000000844;Hess;Ida;Ida.Hess@test.de;
1000000844;Hess;Ida;Ida.Hess@test.de;
1000000844;Hess;Ida;Ida.Hess@test.de;44340
1000000844;Hess;Ida;Ida.Hess@test.de;44340
1000000862;Janßen;Marta;Marta.Janßen@test.de;
1000000862;Janßen;Marta;Marta.Janßen@test.de;
1000000862;Janßen;Marta;Marta.Janßen@test.de;
1000000862;Janßen;Marta;Marta.Janßen@test.de;42833
1000000862;Janßen;Marta;Marta.Janßen@test.de;42833
1000000889;Feldmann;Elisabeth;Elisabeth.Feldmann@test.de;
1000000889;Feldmann;Elisabeth;Elisabeth.Feldmann@test.de;
1000000889;Feldmann;Elisabeth;Elisabeth.Feldmann@test.de;
1000000889;Feldmann;Elisabeth;Elisabeth.Feldmann@test.de;
1000000889;Feldmann;Elisabeth;Elisabeth.Feldmann@test.de;
1000000889;Feldmann;Elisabeth;Elisabeth.Feldmann@test.de;35172
1000000889;Feldmann;Elisabeth;Elisabeth.Feldmann@test.de;35172
1000000892;Rupp;Emma;Emma.Rupp@test.de;
1000000892;Rupp;Emma;Emma.Rupp@test.de;
1000000892;Rupp;Emma;Emma.Rupp@test.de;47577
1000000892;Rupp;Emma;Emma.Rupp@test.de;47577
1000000893;Geißler;Erich;Erich.Geißler@test.de;
1000000893;Geißler;Erich;Erich.Geißler@test.de;
1000000893;Geißler;Erich;Erich.Geißler@test.de;
1000000914;Voss;Herbert;Herbert.Voss@test.de;
1000000914;Voss;Herbert;Herbert.Voss@test.de;
1000000927;Bertram;Käte;Käte.Bertram@test.de;
1000000927;Bertram;Käte;Käte.Bertram@test.de;
1000000927;Bertram;Käte;Käte.Bertram@test.de;
1000000927;Bertram;Käte;Käte.Bertram@test.de;
1000000927;Bertram;Käte;Käte.Bertram@test.de;55031
1000000927;Bertram;Käte;Käte.Bertram@test.de;55031
1000000929;Rapp;Kurt;Kurt.Rapp@test.de;
1000000929;Rapp;Kurt;Kurt.Rapp@test.de;
1000000929;Rapp;Kurt;Kurt.Rapp@test.de;37506
1000000929;Rapp;Kurt;Kurt.Rapp@test.de;37506
1000000964;Scheffler;Elisabeth;Elisabeth.Scheffler@test.de;
1000000979;Dorn;Gertrud;Gertrud.Dorn@test.de;
1000000979;Dorn;Gertrud;Gertrud.Dorn@test.de;
1000000979;Dorn;Gertrud;Gertrud.Dorn@test.de;
1000000979;Dorn;Gertrud;Gertrud.Dorn@test.de;
1000000979;Dorn;Gertrud;Gertrud.Dorn@test.de;
1000000979;Dorn;Gertrud;Gertrud.Dorn@test.de;46998
1000000979;Dorn;Gertrud;Gertrud.Dorn@test.de;46998
1000000985;Engels;Heinz;Heinz.Engels@test.de;
1000000985;Engels;Heinz;Heinz.Engels@test.de;
1000000987;Reimer;Helene;Helene.Reimer@test.de;
1000000987;Reimer;Helene;Helene.Reimer@test.de;
1000000987;Reimer;Helene;Helene.Reimer@test.de;
1000000987;Reimer;Helene;Helene.Reimer@test.de;
1000000987;Reimer;Helene;Helene.Reimer@test.de;
1000000987;Reimer;Helene;Helene.Reimer@test.de;
1000000987;Reimer;Helene;Helene.Reimer@test.de;49260
1000000987;Reimer;Helene;Helene.Reimer@test.de;49260
1000001003;Gebauer;Klaus ;Klaus .Gebauer@test.de;
1000001003;Gebauer;Klaus ;Klaus .Gebauer@test.de;
1000001008;Schuler;Margarethe;Margarethe.Schuler@test.de;
1000001008;Schuler;Margarethe;Margarethe.Schuler@test.de;
1000001062;Finke;Helene;Helene.Finke@test.de;
1000001062;Finke;Helene;Helene.Finke@test.de;40951
1000001070;Volk;Ilse;Ilse.Volk@test.de;
1000001070;Volk;Ilse;Ilse.Volk@test.de;
1000001070;Volk;Ilse;Ilse.Volk@test.de;52502
1000001070;Volk;Ilse;Ilse.Volk@test.de;52502
